Code,Alter,Cortisol,Index,Temperatur,Dominanz
M501,0.5 Jahre,12.435,0.125,38.06,Subdominant
M502,0.5 Jahre,10.915,0.411764706,37.82,Subdominant
M503,0.5 Jahre,11.52,0.285714286,37.84,Subdominant
M504,0.5 Jahre,25.63,0.785714286,37.88,Dominant
M505,0.5 Jahre,14.37,0.904761905,38.02,Dominant
M506,0.5 Jahre,19.305,0.375,38.44,Subdominant
M507,0.5 Jahre,6.785,0.181818182,37.65,Subdominant
M410,2.5 Jahre,10.685,0.111111111,37.48,Subdominant
M013,2.5 Jahre,17.66,0.08,37.73,Subdominant
M414,2.5 Jahre,22.27,0.642857143,38.5,Dominant
M415,2.5 Jahre,,0.862068966,38.68,Dominant
M401,2.5 Jahre,,0.111111111,37.56,Subdominant
M402,2.5 Jahre,12.655,0.055555556,38.31,Subdominant
M405,2.5 Jahre,17.975,0.842105263,38.57,Dominant
M406,2.5 Jahre,40.445,1,38.34,Dominant
M407,2.5 Jahre,18.29,0.666666667,38.3,Dominant
M408,2.5 Jahre,15.76,1,,Dominant
